VIB,1767139,balanced,-0.3154,0.0723,0.8652
VIB,1767153,balanced,-0.8350,0.0830,0.4414
VIB,1767167,balanced,-1.3154,-0.0918,0.7178
VIB,1767181,balanced,-0.2539,0.1445,0.7139
VIB,1767195,balanced,-1.5771,-0.0840,0.4189
VIB,1767210,balanced,-0.3428,0.0605,0.8955
VIB,1767224,balanced,-0.8311,0.0762,0.3389
VIB,1767238,balanced,-0.9775,-0.0234,0.7285
VIB,1767252,balanced,-0.2773,0.1328,0.7324
VIB,1767267,balanced,-1.5615,-0.0918,0.4258
VIB,1767281,balanced,-0.3623,0.0908,0.8838
VIB,1767295,balanced,-1.1768,-0.0156,0.3428
VIB,1767309,balanced,-0.9160,-0.0352,0.6611
VIB,1767324,balanced,-0.3232,0.1982,0.7217
VIB,1767338,balanced,-1.4844,-0.1113,0.4189
VIB,1767352,balanced,-0.2041,0.0762,0.7627
VIB,1767366,balanced,-1.2461,-0.0313,0.4189
VIB,1767381,balanced,-0.7383,-0.0732,0.7627
VIB,1767395,balanced,-0.4775,0.1904,0.5928
VIB,1767409,balanced,-1.3311,-0.0879,0.6650
VIB,1767424,balanced,-0.1963,0.0908,0.7441
VIB,1767438,balanced,-1.4121,-0.0459,0.3320
VIB,1767452,balanced,-0.3926,0.0186,0.9072
VIB,1767466,balanced,-0.7275,0.0723,0.4600
VIB,1767480,balanced,-1.2920,-0.1152,0.5928
VIB,1767495,balanced,-0.1465,0.1865,0.8730
VIB,1767509,balanced,-1.3848,-0.0771,0.4717
VIB,1767523,balanced,-0.3389,0.0225,0.7324
VIB,1767537,balanced,-0.9775,0.0986,0.3955
VIB,1767552,balanced,-1.0498,-0.0693,0.6611
VIB,1767566,balanced,-0.5156,0.1025,0.5664
VIB,1767580,balanced,-1.4766,-0.1455,0.6074
VIB,1767594,balanced,-0.1777,0.1250,0.8955
VIB,1767609,balanced,-1.1621,0.0068,0.3389
VIB,1767623,balanced,-0.6152,0.0381,0.8047
VIB,1767637,balanced,-0.6045,0.0830,0.5811
VIB,1767651,balanced,-1.3037,-0.0811,0.4414
VIB,1767666,balanced,-0.2500,0.1748,0.6152
VIB,1767680,balanced,-1.4463,-0.0234,0.4678
VIB,1767694,balanced,-0.3809,0.0830,0.8496
VIB,1767708,balanced,-0.8350,0.0684,0.4258
VIB,1767722,balanced,-1.0313,-0.0459,0.7666
VIB,1767737,balanced,-0.2773,0.1250,0.7363
VIB,1767751,balanced,-1.5537,-0.1152,0.3730
VIB,1767765,balanced,-0.4043,0.0342,0.9561
VIB,1767779,balanced,-1.2275,-0.0313,0.4189
VIB,1767794,balanced,-0.7656,-0.0576,0.7666
VIB,1767808,balanced,-0.4922,0.1904,0.6006
VIB,1767822,balanced,-1.3809,-0.0879,0.4375
VIB,1767837,balanced,-0.2197,0.0830,0.7256
VIB,1767851,balanced,-1.2852,-0.0537,0.4678
VIB,1767865,balanced,-0.7383,-0.0537,0.7100
VIB,1767879,balanced,-0.3965,0.1484,0.6074
VIB,1767894,balanced,-1.2500,-0.0879,0.6006
VIB,1767908,balanced,-0.2002,0.1182,0.7588
VIB,1767922,balanced,-1.1768,0.0000,0.3584
VIB,1767936,balanced,-0.4277,0.0029,0.8047
VIB,1767950,balanced,-0.7383,0.1182,0.5742
VIB,1767965,balanced,-1.3076,-0.0771,0.4561
VIB,1767979,balanced,-0.1816,0.1904,0.9180
VIB,1767993,balanced,-1.3232,-0.0615,0.3994
VIB,1768007,unbalanced,-0.9619,-0.0459,0.7783
VIB,1768024,unbalanced,-0.6348,0.0830,0.5439
VIB,1768038,unbalanced,-0.7422,0.0410,0.4980
VIB,1768053,unbalanced,-0.8613,-0.0420,0.4600
VIB,1768067,unbalanced,-1.0352,0.1787,1.9990
VIB,1768081,unbalanced,-0.9307,-0.0771,0.5020
VIB,1768096,unbalanced,-0.9385,0.1025,1.1377
VIB,1768110,unbalanced,-0.7617,0.0029,0.5889
VIB,1768124,unbalanced,-0.8389,0.0566,0.8086
VIB,1768139,unbalanced,-0.8887,0.0449,0.8047
