-0.9004 0.0986 0.4453
-1.0498 -0.1533 0.2744
-0.4307 0.1631 0.2295
-1.5459 0.0303 0.0137
-0.2891 -0.1338 -1.6094
-1.2920 0.2207 1.4219
-1.0430 -0.0537 0.6875
-0.2813 0.1904 0.7363
-1.4121 -0.0420 0.2979
-0.4346 0.1289 0.6348
-1.3574 0.0146 0.3086
-0.9307 0.0723 0.6572
-0.8389 0.0264 0.6348
-0.6807 0.0264 0.6680
-0.7383 -0.0156 0.4834
-0.5313 0.0830 0.5508
-0.8428 0.2627 1.9023
-0.9268 -0.1572 -0.2129
-0.9580 -0.1455 -0.3340
-0.2461 0.1143 0.9482
-0.7461 0.1250 0.4229
-1.2998 -0.0654 0.7588
-0.4814 0.0449 0.9941
-0.4893 0.1182 0.4111
-1.3887 -0.1113 0.5625
-0.6924 0.0566 0.7891
-1.0039 0.0801 0.4375
-1.3428 -0.1416 0.6611
-0.2080 0.1865 0.7061
-1.0391 0.0801 0.3164
-1.1309 -0.0732 0.4639
-0.2813 0.2666 1.9990
-1.3232 -0.0352 0.2441
-0.6465 -0.0273 0.2373
-0.3193 0.1445 0.6533
-1.1963 -0.0498 0.6113
-0.1885 0.0762 0.7402
-0.6270 0.1221 0.6191
-1.1543 -0.0957 0.5059
-0.2236 0.1943 0.8311
-1.4385 -0.0996 0.2822
-0.7578 -0.0771 0.5889
-0.3389 0.1904 0.5244
-0.6699 0.7891 0.1084
-0.2852 -0.0039 0.1875
-1.3574 0.0605 0.5361
-1.0078 -0.2598 0.1162
-0.3545 0.1143 0.5439
-1.3965 0.0146 0.1309
-0.4736 -0.0195 0.6758
-0.8037 0.1328 0.6914
-1.3691 -0.1377 0.4258
-0.2773 0.0986 0.8838
-1.1963 -0.0391 0.3955
-0.6270 0.1064 0.8496
-0.4541 0.1943 0.7480
-1.4658 -0.0459 0.4834
-0.3887 0.0605 0.8730
-0.8232 0.1826 0.6719
-1.3887 -0.2441 -0.5576
-1.2002 -0.3398 -1.2422
-0.9697 0.1562 1.0352
-0.6045 -0.0039 0.7480
-0.5811 0.2471 0.8730
-1.1465 -0.0957 0.3164
-0.2656 0.0947 0.9785
-1.1729 -0.0273 0.1953
-1.2041 -0.0771 0.4863
-0.2656 0.1904 0.8574
-1.4189 -0.0771 0.2295
-0.7617 -0.0391 0.5547
-0.5732 0.0986 0.6494
-1.1045 -0.0615 0.5400
-0.1660 -0.0273 0.4072
-1.5313 -0.0498 -0.0771
-0.9004 -0.1533 -0.5391
-0.3887 0.1328 0.3281
-1.5313 -0.1455 -0.4785
-0.6309 -0.0771 0.3730
-0.7813 0.1562 0.5166
-1.4463 -0.1641 0.3125
-0.2236 0.1602 0.9102
-1.1006 -0.0352 0.4033
-0.9424 -0.0498 0.6533
-0.5732 0.0449 0.7402
-1.3428 -0.1035 0.5439
-0.2275 0.1631 0.7891
-1.0967 0.0605 0.2861
-1.0459 -0.1221 -0.3916
-0.4775 -0.2061 -0.9209
-1.1465 0.0869 1.5801
-0.2969 0.0986 0.5967
-0.8926 0.1367 0.6416
-0.8809 -0.1113 0.4336
-0.1230 0.0762 0.7217
-1.2578 -0.0879 0.4072
-0.4658 0.0000 0.7139
-0.5576 0.0605 0.4531
-1.2539 -0.0654 0.6875
-0.2500 0.1631 0.8086
-1.2920 -0.0879 0.4678
-0.3926 -0.0039 0.6719
-0.4043 0.1328 0.8467
-1.4150 -0.1953 0.1230
-0.2314 0.1709 1.3379
-1.1768 0.1104 0.3955
-1.2275 -0.0391 0.9404
-0.5313 0.1709 0.4297
-1.3652 -0.0459 0.4561
-0.7002 -0.0352 0.6680
-0.6309 0.0762 0.5361
-1.2852 -0.0879 0.4492
-0.2275 0.1904 0.8193
-1.1230 0.0645 0.4531
-0.7158 0.0381 0.7588
-0.5654 0.3271 0.7666
-1.4082 -0.1035 0.6074
-0.9004 -0.0840 -0.3271
-0.3926 0.1484 0.5586
-1.2959 -0.0498 1.1562
-0.4580 0.1904 1.1943
-1.0430 0.1182 0.5098
-1.1504 -0.0771 0.7588
-0.3115 0.1787 0.9033
-1.4385 -0.0459 0.4336
