-1.1807 -0.0195 0.3545
-1.0039 -0.0615 0.8047
-0.3154 0.1602 0.6074
-1.3350 -0.0537 0.5137
-0.4121 0.0566 0.7861
-0.7578 0.0527 0.3623
-0.9346 -0.0654 0.7139
-0.2852 0.1104 0.6377
-1.4189 -0.0459 0.4639
-0.6045 0.0410 0.8086
-0.9775 0.0908 0.4717
-1.2734 -0.1260 0.5771
-0.2002 0.1289 0.6719
-1.2383 -0.0313 0.4756
-0.3691 0.0684 0.7969
-0.7041 0.1250 0.5625
-1.4541 -0.1113 0.4639
-0.1660 0.1143 0.8389
-1.4619 -0.0615 0.3242
-0.6543 -0.0313 0.7627
-0.3691 0.1982 0.7021
-1.5615 -0.0879 0.4189
-0.1699 0.2207 0.8955
-1.2158 -0.0078 0.3623
-0.9619 -0.0459 0.6611
-0.2236 0.1709 0.8877
-1.3965 -0.1113 0.4561
-0.3311 0.0830 0.8389
-0.9082 0.0762 0.4336
-0.9268 -0.0576 0.7666
-0.2852 0.1904 0.6416
-1.3467 -0.0811 0.3809
-0.6465 0.1064 0.8730
-0.7773 0.0645 0.4561
-1.2813 -0.0732 0.6348
-0.2275 0.1025 0.7627
-1.1885 -0.0156 0.3848
-0.4922 0.0068 0.7930
-0.5537 0.1064 0.5850
-1.4805 -0.1035 0.5439
-0.2002 0.1221 0.7588
-1.4541 -0.0420 0.3350
-0.6426 -0.0459 0.7588
-0.4121 0.1709 0.6270
-1.5234 -0.1299 0.3887
-0.1846 0.1865 0.8271
-1.1924 0.0068 0.3584
-0.9580 -0.0498 0.7891
-0.5195 0.1182 0.5361
-1.4697 -0.1113 0.6230
-0.2539 0.0762 0.7363
-1.0156 0.0986 0.4492
-0.6045 0.0186 0.8271
-0.4922 0.1748 0.6572
-1.4463 -0.0811 0.4258
-0.3730 0.0762 0.9033
-1.1729 -0.0234 0.3652
-0.9814 -0.0234 0.7324
-0.2500 0.1250 0.7061
-1.5039 -0.0498 0.4414
-0.2080 0.1709 0.8916
-1.1465 0.0029 0.3467
-0.9160 -0.0771 0.7100
-0.2500 0.1328 0.6377
-1.4805 -0.1260 0.6152
-0.1846 0.1143 0.8164
-1.0459 0.0947 0.4336
-0.6426 0.0449 0.8271
-0.5508 0.0947 0.5889
-1.3389 -0.0996 0.5322
-0.2891 0.0645 0.7480
-1.4424 -0.0420 0.3389
-0.6006 -0.0156 0.8232
-0.5693 0.0947 0.5889
-1.3467 -0.0811 0.4492
-0.1660 0.1250 0.6650
-1.4268 -0.0498 0.4150
-0.6543 -0.0234 0.8047
-0.5391 0.1182 0.5928
-1.2998 -0.0615 0.6377
-0.2197 0.0908 0.7588
-1.3809 -0.0273 0.4941
-0.6270 -0.0391 0.7744
-0.8193 0.0605 0.3623
-1.3350 -0.1035 0.6719
-0.2236 0.0264 0.7363
-1.5889 -0.0732 0.4336
-0.3154 0.0723 0.8652
-0.8350 0.0830 0.4414
-1.3154 -0.0918 0.7178
-0.2539 0.1445 0.7139
-1.5771 -0.0840 0.4189
-0.3428 0.0605 0.8955
-0.8311 0.0762 0.3389
-0.9775 -0.0234 0.7285
-0.2773 0.1328 0.7324
-1.5615 -0.0918 0.4258
-0.3623 0.0908 0.8838
-1.1768 -0.0156 0.3428
-0.9160 -0.0352 0.6611
-0.3232 0.1982 0.7217
-1.4844 -0.1113 0.4189
-0.2041 0.0762 0.7627
-1.2461 -0.0313 0.4189
-0.7383 -0.0732 0.7627
-0.4775 0.1904 0.5928
-1.3311 -0.0879 0.6650
-0.1963 0.0908 0.7441
-1.4121 -0.0459 0.3320
-0.3926 0.0186 0.9072
-0.7275 0.0723 0.4600
-1.2920 -0.1152 0.5928
-0.1465 0.1865 0.8730
-1.3848 -0.0771 0.4717
-0.3389 0.0225 0.7324
-0.9775 0.0986 0.3955
-1.0498 -0.0693 0.6611
-0.5156 0.1025 0.5664
-1.4766 -0.1455 0.6074
-0.1777 0.1250 0.8955
-1.1621 0.0068 0.3389
-0.6152 0.0381 0.8047
-0.6045 0.0830 0.5811
-1.3037 -0.0811 0.4414
-0.2500 0.1748 0.6152
-1.4463 -0.0234 0.4678
-0.3809 0.0830 0.8496
-0.8350 0.0684 0.4258
-1.0313 -0.0459 0.7666
-0.2773 0.1250 0.7363
-1.5537 -0.1152 0.3730
-0.4043 0.0342 0.9561
-1.2275 -0.0313 0.4189
-0.7656 -0.0576 0.7666
-0.4922 0.1904 0.6006
-1.3809 -0.0879 0.4375
-0.2197 0.0830 0.7256
-1.2852 -0.0537 0.4678
-0.7383 -0.0537 0.7100
-0.3965 0.1484 0.6074
-1.2500 -0.0879 0.6006
-0.2002 0.1182 0.7588
-1.1768 0.0000 0.3584
-0.4277 0.0029 0.8047
-0.7383 0.1182 0.5742
-1.3076 -0.0771 0.4561
-0.1816 0.1904 0.9180
-1.3232 -0.0615 0.3994
-0.8232 0.0342 0.6006
-0.7930 0.0381 0.6006
-0.7734 0.0107 0.7480
-0.8115 0.0107 0.6533
-0.9307 0.0566 0.6348
-0.6807 -0.0459 0.5244
-0.9043 0.1025 0.7402
-1.0967 -0.1494 0.4033
-1.0811 -0.0039 0.5850
-0.5156 0.0645 0.8193
-1.1729 0.0449 0.5098
-0.9961 -0.0693 0.6045
-0.4199 0.0801 0.6982
-1.2305 -0.0313 0.4492
-1.1465 -0.0615 0.6719
-0.2500 0.0762 0.7139
-0.9961 0.0762 0.6006
-1.1543 -0.0771 0.6230
-0.1777 0.1670 0.8428
-0.9580 0.0303 0.4297
-1.3848 -0.1191 0.6113
-0.3047 0.1523 0.7666
-1.1045 0.0869 0.4600
-1.1582 -0.0771 0.6875
-0.1270 0.1143 0.8193
-1.1924 0.0000 0.4297
-0.7813 -0.0498 0.7100
-0.1816 0.1562 0.7217
-1.4541 -0.0156 0.4717
-0.6006 0.1064 0.8311
-0.4346 0.1602 0.7480
-1.2656 -0.0654 0.4150
-0.3154 0.0986 0.8574
-0.6807 0.0869 0.5850
-1.2305 -0.0732 0.4941
-0.2773 0.0684 0.8232
-0.9844 0.0947 0.5400
-1.1426 -0.0459 0.6152
-0.1084 0.1602 0.8271
-0.8232 0.0723 0.4756
-0.9502 0.0000 0.7783
-0.3770 0.2051 0.7891
-1.3691 -0.0156 0.4902
-0.5313 0.0264 0.7627
-0.6768 0.1025 0.5469
-1.4766 -0.0117 0.4561
-0.5928 0.1143 0.8311
-0.9961 0.1104 0.5889
-1.2305 -0.0537 0.4980
-0.3350 0.0488 0.8125
-0.7041 0.0801 0.5850
-1.2920 -0.1260 0.3506
-0.4160 0.0410 0.8652
-0.6582 0.1143 0.5586
-1.1426 -0.0654 0.6758
-0.2354 0.0684 0.7402
-1.0391 0.0527 0.5400
-1.2773 -0.0918 0.5322
-0.2461 0.2129 0.7891
-1.0732 0.1143 0.4717
-1.1660 -0.0537 0.6719
-0.1348 0.1670 0.8496
-1.3193 -0.0352 0.4717
-0.9307 -0.0391 0.8125
-0.4346 0.2402 0.8008
-1.4385 -0.0537 0.4795
-0.3623 0.0381 0.8086
-0.5771 0.0605 0.5771
-1.2734 -0.0537 0.4756
-0.3691 0.1104 0.8770
-1.2461 -0.0313 0.3691
-0.9463 -0.0732 0.6797
-0.1201 0.1523 0.8086
-1.5576 -0.1221 0.4229
-0.3389 0.0488 0.8574
-0.7119 0.1143 0.5703
-1.4697 -0.1074 0.5771
-0.1123 0.1562 0.7520
-1.2920 -0.0156 0.4414
-0.8965 -0.0693 0.7217
-0.3047 0.1064 0.6494
-1.4697 -0.0957 0.5811
-0.3008 0.0488 0.7666
-0.7656 0.0762 0.4834
-1.2578 -0.0693 0.6270
-0.2656 0.1182 0.7061
-1.4502 -0.0195 0.4492
-0.6123 0.0342 0.8164
-0.5537 0.1025 0.5244
-1.2500 -0.0693 0.6230
-0.2578 0.0801 0.7363
-1.2041 -0.0234 0.3691
-0.8965 -0.0273 0.7891
-0.5537 0.0830 0.5283
-1.2891 -0.0654 0.4717
-0.3848 0.0723 0.8994
-1.2422 -0.0273 0.3428
-0.8232 -0.0459 0.7480
-0.3809 0.2471 0.8008
-1.4619 -0.0693 0.3242
-0.3008 0.0908 0.9072
-0.8730 0.1289 0.5664
-1.3613 -0.1074 0.3320
-0.1201 0.1025 0.8730
-1.4844 -0.0391 0.3652
-0.7930 -0.0771 0.6611
-0.2773 0.1445 0.7178
-1.4502 -0.0078 0.4639
-0.2080 0.1025 0.7363
-0.8428 0.1104 0.4531
-1.2344 -0.0771 0.6377
-0.2080 0.1523 0.7969
-1.3506 -0.0879 0.4297
-0.6045 0.1025 0.8311
-0.6152 0.1562 0.5771
-1.1621 -0.0840 0.5547
-0.1660 0.2021 0.9600
-1.1230 0.0762 0.4453
-1.2197 -0.1416 0.6006
-0.3506 0.1328 0.7178
-1.4697 -0.0117 0.4531
-0.6123 0.0449 0.7969
-0.6348 0.0605 0.5166
-1.2275 -0.0615 0.6875
-0.1846 0.2168 0.8877
-1.1465 0.0566 0.4414
-1.2461 -0.1260 0.6152
-0.3232 0.1445 0.6953
-1.3271 -0.0654 0.4678
-0.5615 0.0566 0.8955
-0.4424 0.2129 0.6611
-1.3652 -0.1113 0.3691
-0.2314 0.0684 0.7256
-0.7969 0.0488 0.3652
-0.8848 -0.0391 0.7930
-0.3271 0.2129 0.8389
-1.4385 -0.0537 0.4678
-0.8730 -0.0391 0.7139
-0.5508 0.1104 0.5586
-1.2305 -0.0615 0.4600
-0.3076 0.1104 0.8770
-0.8037 0.1328 0.5625
-1.1152 -0.0957 0.5967
-0.2197 0.0605 0.7256
-1.1846 -0.0352 0.3652
-0.7998 -0.0391 0.7520
-0.6465 0.1143 0.6152
-1.5039 -0.1299 0.4033
-0.3428 0.0449 0.8125
-0.5576 0.1143 0.5400
-1.2305 -0.0957 0.5928
-0.2539 0.0830 0.7324
-1.2500 -0.0313 0.3428
-0.6084 0.1182 0.8311
-0.6387 0.1406 0.5586
-1.5117 -0.1299 0.3994
-0.3623 0.0488 0.8467
-1.1387 0.0303 0.4189
-1.0811 -0.1377 0.5469
-0.1123 0.1943 0.8799
-1.4346 -0.0273 0.4033
-0.3389 0.1025 0.8730
-0.9268 0.1143 0.5586
-1.2891 -0.0996 0.4336
-0.1846 0.1865 0.8613
-1.4004 -0.0918 0.3428
-0.6045 0.0527 0.8955
-0.5850 0.1445 0.5703
-1.2773 -0.0840 0.6416
-0.1816 0.1709 0.8311
